ENB2012_data,,,,,,,,,,,,,,,,,,,,,,
TAVG,WSPD,PRES,TOTAL_FLOOR_AREA,PROPERTY_TYPE,GLAZED_AREA,EXTENSION_COUNT,WALLS_DESCRIPTION,FLOOR_DESCRIPTION,FLOOR_LEVEL,WINDOWS_DESCRIPTION,WINDOWS_ENERGY_EFF,WINDOWS_ENV_EFF,WALLS_ENERGY_EFF,WALLS_ENV_EFF,ROOF_DESCRIPTION,ROOF_ENERGY_EFF,ROOF_ENV_EFF,LIGHTING_ENV_EFF,LIGHTING_ENERGY_EFF,NUMBER_HEATED_ROOMS,NUMBER_HABITABLE_ROOMS,ENERGY_CONSUMPTION
0.98,514.5,294,110.25,7,2,0,0,15.55,21.33,139,0.0384017517282955,0.151611512509915,0.359810570487247,0.42325690084553,83,0.0988005096471506,0.353102611977557,0.51244824424675,0.639327558583903,3,1,
0.98,514.5,294,110.25,7,3,0,0,15.55,21.33,113,0.433563280877424,0.759479158351876,0.53199377879119,0.27833941440477,25,0.585979678137918,0.402360157986323,0.874466240627134,0.18563288278055,3,2,
0.98,514.5,294,110.25,7,4,0,0,15.55,21.33,170,0.0953165859073496,0.984977677524711,0.220796213197865,0.0825395210890993,70,0.185952187223646,0.446604282643767,0.697235691499502,0.283091574612619,1,4,
0.98,514.5,294,110.25,7,5,0,0,15.55,21.33,16,0.564821093115442,0.975106924736342,0.473789998620787,0.468238005111011,7,0.446534091619405,0.194440441627659,0.915176140053533,0.257529261053328,4,1,
0.9,563.5,318.5,122.5,7,2,0,0,20.84,28.28,29,0.888922370124005,0.866241329342283,0.810527195878429,0.373782576858352,14,0.850068375547589,0.587132746553848,0.714828501535981,0.143156377730812,1,3,
0.9,563.5,318.5,122.5,7,3,0,0,21.46,25.38,83,0.427111163466665,0.402543224827408,0.958179472557327,0.297434324476369,89,0.892077866031809,0.534006325174172,0.0861527062351763,0.995848474525736,1,4,
0.9,563.5,318.5,122.5,7,4,0,0,20.71,25.16,132,0.601734914049649,0.269417814705489,0.649670917751772,0.846934960205045,99,0.787226255683276,0.74884396007801,0.723905014612729,0.519145399581062,3,3,
0.9,563.5,318.5,122.5,7,5,0,0,19.68,29.6,137,0.855937245403647,0.09948542868399,0.914447605278106,0.253553429741077,54,0.910759180540157,0.941888799188806,0.377116042219778,0.89207196565089,2,1,
0.86,588,294,147,7,2,0,0,19.5,27.3,85,0.984637515467856,0.27615752944308,0.282181276197065,0.973883662477558,89,0.862001555626921,0.886761948146214,0.129609095719869,0.887820752180321,3,1,
0.86,588,294,147,7,3,0,0,19.95,21.97,95,0.39385497048946,0.462521443926661,0.909571389864216,0.714638640924118,30,0.557133482239178,0.819820355479474,0.981318426853893,0.332658090263661,1,3,
0.86,588,294,147,7,4,0,0,19.34,23.49,161,0.943876403862574,0.432440734230584,0.476985002068528,0.000320354288875312,4,0.131056285272219,0.877596264214051,0.0382553565039919,0.550223045078392,4,2,
0.86,588,294,147,7,5,0,0,18.31,27.87,165,0.549843019403081,0.112117544069765,0.709244916923404,0.316713116763688,95,0.139826769938057,0.49008047670985,0.131361695028442,0.215419968634799,4,1,
0.82,612.5,318.5,147,7,2,0,0,17.05,23.77,48,0.0402765775064294,0.951271441545644,0.697349633464803,0.323942713703998,58,0.083998104218848,0.176733661938143,0.303470748965321,0.885613720493301,2,3,
0.82,612.5,318.5,147,7,3,0,0,17.41,21.46,147,0.805362351103489,0.225088183806789,0.551145522772416,0.358699435931255,93,0.649542809234512,0.0266226980477693,0.29108778887224,0.523078246653702,1,4,
0.82,612.5,318.5,147,7,4,0,0,16.95,21.16,60,0.48918288075489,0.832992634912939,0.145621218516217,0.0220101400744549,84,0.0943044823232238,0.889069951585662,0.681788322099077,0.229079886437265,3,2,
0.82,612.5,318.5,147,7,5,0,0,15.98,24.93,178,0.75019477662651,0.543832713658921,0.419887270799893,0.205900082225045,65,0.612964363016194,0.521425145193315,0.286359278381907,0.949071141202509,1,3,
0.79,637,343,147,7,2,0,0,28.52,37.73,93,0.608170317204033,0.686900689627901,0.781682010223573,0.376916296515224,21,0.561717509912904,0.129653970490078,0.296880331495127,0.188459010263746,3,1,
0.79,637,343,147,7,3,0,0,29.9,31.27,161,0.316678539813565,0.821330285468256,0.466560852048302,0.0297482182858027,83,0.880750134981863,0.527159552805863,0.946137920450796,0.477380322942248,4,1,
0.79,637,343,147,7,4,0,0,29.63,30.93,69,0.935289665414209,0.361463690594798,0.309727167852764,0.348794376815551,39,0.341312979597441,0.720701709520452,0.132426457611662,0.932690085008672,2,4,
0.79,637,343,147,7,5,0,0,28.75,39.44,109,0.333023088509349,0.883860232365519,0.208388989157978,0.626163418300676,16,0.426846005063766,0.215690706568824,0.500039162470917,0.94560701806186,1,4,
0.76,661.5,416.5,122.5,7,2,0,0,24.77,29.79,132,0.536906272739474,0.775251217935384,0.00759437240604196,0.964409105493951,79,0.00817271868008727,0.735451740023867,0.928939302354277,0.424381148965031,1,2,
0.76,661.5,416.5,122.5,7,3,0,0,23.93,29.68,158,0.338588098000148,0.688063697669387,0.842096855649774,0.534759521969316,3,0.741983725476047,0.627446419565365,0.185505213838181,0.351375440316341,1,1,
